nome;variavel;tamanho;decimais;inicial
TIPO DE REGISTRO                  ;registro;2;;1
CODIGO DA UF;uf;2;;3
NUMERO SEQUENCIAL;n_seq;3;;5
DV DO SEQUENCIAL;dv_seq;1;;8
NUMERO DO DOMICILIO;n_dom;2;;9
ESTRATO GEOGRAFICO;estrato;2;;11
FATOR DE EXPANSAO 1 (DESENHO AMOSTRAL)           ;fator_exp;14;8;13
FATOR DE EXPANSAO 2 (AJUSTADO P/ ESTIMATIVAS)           ;fator_exp_2;14;8;27
PERIODO REAL DA COLETA;per_col;4;;41
QUANTIDADE DE MORADORES      ;quant_mor;4;;45
QUANTIDADE DE UC                ;quant_uc;2;;49
QUANTIDADE DE FAMILIAS;quant_fam;2;;51
TIPO DE DOMICILIO;tipo_dom;2;;53
MATERIAL QUE PREDOMINA NAS PAREDES EXTERNAS;mat_pare;2;;55
MATERIAL QUE PREDOMINA NA COBERTURA;mat_cob;2;;57
MATERIAL QUE PREDOMINA NO PISO;mat_piso;2;;59
QUANTIDADE DE COMODOS;quant_com;2;;61
COMODOS SERVINDO DE DORMITORIO;com_dorm;2;;63
EXISTENCIA DE AGUA CANALIZADA;agua_can;2;;65
PROVENIENCIA DA AGUA;prov_agua;2;;67
QUANTIDADE DE BANHEIROS;quant_ban;2;;69
ESCOADOURO SANITARIO;esco_san;2;;71
CONDICAO DE OCUPACAO;cond_ocup;2;;73
TEMPO DE ALUGUEL;temp_alu;2;;75
TIPO DE CONTRATO DE ALUGUEL;tipo_cont;2;;77
EXISTENCIA DE PAVIMENTACAO NA RUA;pav_rua;2;;79
IMPUTACAO - QUANTIDADE DE COMODOS;iquant_com;1;;81
IMPUTACAO - QUANTIDADE DE BANHEIROS;iquant_ban;1;;82
IMPUTACAO - ESCOADOURO SANITARIO;i_esco;1;;83
RENDA MONETARIA MENSAL DO DOMICILIO;rend_mon_mes_dom;16;2;84
RENDA NAO MONETARIA MENSAL DO DOMICILIO;rend_nmon_mes_dom;16;2;100
RENDA TOTAL MENSAL DO DOMICILIO               ;rend_tot_mes_dom;16;2;116
SERVICO DE DISTRIBUICAO DOS CORREIOS;dist_correio;1;;132
