nome;variavel;tamanho;decimais; inicial
TIPO DE REGISTRO                  ;registro;2;;1
CODIGO DA UF;uf;2;;3
NUMERO SEQUENCIAL;n_seq;3;;5
DV DO SEQUENCIAL;dv_seq;1;;8
NUMERO DO DOMICIêLIO;n_dom;2;;9
NUMERO DA UC                       ;n_uc;1;;11
ESTRATO GEOGRAçFICO;estrato;2;;12
FATOR DE EXPANSAO 1 (DESENHO AMOSTRAL)           ;fator_exp;14;8;14
FATOR DE EXPANSAO 2 (AJUSTADO P/ ESTIMATIVAS)           ;fator_exp_2;14;8;28
NUMERO DO QUADRO                   ;n_quadro;2;;42
CODIGO DO ITEM                     ;cod_item;5;;44
FORMA DE AQUISICAO                 ;forma_aqui;2;;49
VALOR DA DESPESA / AQUISICAO                  ;valor_despe;11;2;51
MES DA ULTIMA DESPESA;mes_ult_despe;2;;62
NUMERO DE MESES                    ;num_meses;2;;64
FATOR DE ANUALIZACAO                  ;fator_anu;2;;66
DEFLATOR FATOR                 ;deflator;5;2;68
VALOR DA DESPESA DEFLACIONADO       ;desp_defla;11;2;73
VALOR DA DESPESA ANUALIZADO E EXPANDIDO (FATOR2)      ;desp_anu_exp;16;2;84
CODIGO DE IMPUTACAO                    ;cod_impu;2;;100
RENDA MONETAçRIA MENSAL DA UC        ;rend_mon_mes_uc;16;2;102
RENDA NAO MONETAçRIA MENSAL DA UC    ;rend_nmon_mes_uc;16;2;118
RENDA TOTAL MENSAL DA UC                  ;rend_tot_mes_uc;16;2;134
